User,Tweet Count,Tweet,Timestamp,Compound Score,Positive Score,Neutral Score,Negative Score
BBCWorld,48,"#ArethaFranklin fans gather to say goodbye to their idol 

https://t.co/i1x8UbzEkV

Thread 👇🎤 https://t.co/zoofdGA8Op",Tue Aug 28 11:45:27 +0000 2018,0.0,0.0,0.0,0.0
BBCWorld,49,"Avicii's family turn his official website into digital memory board 

https://t.co/Hv1zrzsBMP",Tue Aug 28 11:25:04 +0000 2018,0.0,0.0,0.0,0.0
BBCWorld,50,"RT @BBCNews: Theresa May dances with school children during her South Africa visit

https://t.co/hW8S23GsNd https://t.co/nQNXquroKH",Tue Aug 28 10:34:47 +0000 2018,0.0,0.0,0.0,0.0
BBCWorld,51,"Man held after Paris attack on woman he'd allegedly harassed  

https://t.co/24ytKaPt4C",Tue Aug 28 10:34:04 +0000 2018,-0.765,0.0,0.0,0.0
BBCWorld,52,"French minister Nicolas Hulot surprises President Emmanuel Macron with resignation on live radio

https://t.co/hUa2AtuA77",Tue Aug 28 10:13:56 +0000 2018,-0.0772,0.118,0.118,0.118
BBCWorld,53,"RT @bbcworldservice: Tomisin Ogunnubi was just 12 when she created an app which helps lost children in Nigeria. 
More here: https://t.co/vW…",Tue Aug 28 09:51:44 +0000 2018,0.3182,0.185,0.185,0.185
BBCWorld,54,"RT @BBCSport: Johanna Konta, Roger Federer and Novak Djokovic all begin their US Open campaigns today.

The Swiss great is looking to break…",Tue Aug 28 07:58:18 +0000 2018,0.6249,0.157,0.157,0.157
BBCWorld,55,RT @BBCSteveR: One Russian newspaper today claims Moscow is assembling an “unprecedented” naval force in the Mediterranean: “10 ships (&amp; mo…,Tue Aug 28 07:58:11 +0000 2018,0.0,0.0,0.0,0.0
BBCWorld,56,Myanmar Rohingya: Why Facebook banned an army chief https://t.co/kOjvjFR1gW,Tue Aug 28 06:41:05 +0000 2018,-0.4588,0.0,0.0,0.0
BBCWorld,57,Malcolm Turnbull: Australian ex-PM 'to quit parliament' https://t.co/cMY1GALOmH,Tue Aug 28 02:57:34 +0000 2018,0.0,0.0,0.0,0.0
BBCWorld,58,Left behind: How Venezuela crisis is tearing families apart https://t.co/WAYjqIeRtk,Mon Aug 27 23:46:40 +0000 2018,-0.6249,0.0,0.0,0.0
BBCWorld,59,May's mission to woo Africa after Brexit https://t.co/X05V7mWFGT,Mon Aug 27 23:41:13 +0000 2018,0.4767,0.307,0.307,0.307
BBCWorld,60,Children 'ready to flee’ violence at Greek refugee camp https://t.co/x6Z07im3Yi,Mon Aug 27 23:38:15 +0000 2018,-0.3818,0.171,0.171,0.171
BBCWorld,61,Student loan watchdog: US 'turned its back' on students https://t.co/C80uyX33XJ,Mon Aug 27 21:45:35 +0000 2018,0.0,0.0,0.0,0.0
BBCWorld,62,Vanesa Campos: Five charged with murdering Paris transgender prostitute https://t.co/p2MxeaEgZI,Mon Aug 27 21:42:29 +0000 2018,-0.7269,0.0,0.0,0.0
BBCWorld,63,Germany migrants: Protesters face off in Chemnitz https://t.co/1mxXiC1LT4,Mon Aug 27 19:05:06 +0000 2018,-0.2263,0.0,0.0,0.0
BBCWorld,64,John McCain: The angry politics of late senator's death https://t.co/6Pxcc8ioDK,Mon Aug 27 18:38:51 +0000 2018,-0.802,0.0,0.0,0.0
BBCWorld,65,Pope Francis' Skoda donated to homeless charity https://t.co/w8i9Wovd8U,Mon Aug 27 18:02:25 +0000 2018,0.4215,0.286,0.286,0.286
